DRUG_NAME,n_samples,r2,rmse,mae,pearson,spearman
CAY10603,673,-1.3514243592521615,0.309132898093248,0.26220280344233293,0.5207927586774979,0.4722548621919657
doxorubicin:navitoclax (2:1 mol/mol),936,-1.370310170416321,0.23938880271282426,0.20997288017947952,0.5817986537560148,0.5990728494401644
veliparib,962,-1.3798759002520553,0.10218361764093804,0.08432834613805094,0.11854643550807024,0.1992617605846874
vincristine,974,-1.3813802101212804,0.37619483102248547,0.32651912208026906,0.6084411758948028,0.7239745679158099
triptolide,943,-1.448939456750447,0.16425822659146838,0.14035959535819192,0.4466450056553221,0.516735946492269
dexamethasone,912,-1.4839092279034407,0.2709022222432965,0.24902334777257035,0.44891761585963613,0.21888380985990585
BRD-K14844214,876,-1.4904759008353512,0.1523327538757988,0.13484538042682054,0.2324493763899133,0.18002092203656098
quizartinib,924,-1.5515986490127425,0.17474515652483524,0.1559249306373601,0.4263688881233193,0.20552890387441844
BRD-K96431673,250,-1.6085875571738026,0.09228428754943514,0.0748376794816685,0.035548068240615516,0.09482893711985696
ML320,901,-1.6125609811809065,0.1745811132379661,0.15050876001854782,0.3804075297079478,0.2758667985081419
doxorubicin,964,-1.6210062997434793,0.27684579078100247,0.24558423737519208,0.6678559187064532,0.692975230775156
BAY-HDAC11_1,619,-1.6698311082904298,0.24857008843404807,0.21275467652592944,0.32126755984872707,0.3966035355004663
BRD-K27224038,251,-1.6841754272429719,0.10314583047832387,0.08852551396388379,0.26451520607070056,0.3242020764625467
MK-0752,924,-1.7383326600763156,0.10248813801993631,0.08255444318087057,-0.11195246109006261,-0.01967191885112905
RU-SKI 43,675,-1.7392370880540033,0.08078404027815426,0.07426320988895557,0.3836703103711263,0.28850452581283975
AZD5438,675,-1.767922227997619,0.19292232705356704,0.16123373429694282,0.14247211947044408,0.21059868489219546
methotrexate,908,-1.8059944190414168,0.4235363101759339,0.36808105097952787,0.34089399899119016,0.35332039490304323
KX2-391,922,-1.9524134129445763,0.3916118576556708,0.3402607222625319,0.6200446288261526,0.6771336953913638
T0901317,676,-1.9888669000771877,0.10299161142399976,0.09409709264517678,0.3380274143286482,0.359933474922405
C6-ceramide,954,-2.054399322762109,0.13291063094534772,0.11456779422134433,-0.04772745865314415,-0.018111486741918138
MST-312,939,-2.1366005665614636,0.12968855738793306,0.11573540906682976,0.4475677611892329,0.5870016477703973
procarbazine,872,-2.196106629159728,0.15171016749858152,0.12757943804494484,-0.09290607993208944,-0.0537617662107944
bexarotene,920,-2.1985789523349335,0.1755369046497211,0.1585986948409972,0.3462776998284682,0.2851554211045817
PF-3758309,471,-2.25837515329088,0.3654510134404552,0.3221532458994315,0.6696539136456985,0.7133593020620983
BAY-HDAC11_4,619,-2.2611388085697897,0.08914028849801311,0.07930086795173978,0.05582461311598863,0.11561685719540041
avicin D,447,-2.35551597128069,0.21995645685157827,0.1953711622815331,0.20929560981936468,0.15044868152566768
Doxorubicin,1333,-2.408665628222325,0.4043917232161714,0.35042006286690064,0.2534097523226255,0.2708564004871138
CP724714,680,-2.409755753067471,0.10569345141249424,0.09668864679853216,-0.03910499772316814,0.009123405076416617
etomoxir,937,-2.41924232486332,0.09097895106536523,0.0783426029933218,0.11399974445551243,0.16502359253343507
NSC30930,943,-2.503485271726629,0.11378562550125566,0.09746796662387978,-0.0862897678984645,-0.05362954643173169
BEC,248,-2.508909043162561,0.10975178204730819,0.08878170063846204,-0.023473211431819865,-0.02125551389554045
Irinotecan,300,-2.6733641743089778,0.3401590835803889,0.3000926910396888,0.6286838025463634,0.5863575342742918
SR1001,923,-3.1098312475039,0.11429615886181628,0.10077870211190178,0.10285941065261014,0.1727314659477142
Thapsigargin,641,-3.3040525463280845,0.5204129945244692,0.4656646659060938,0.17694158675123564,0.22448218139005938
CGP-082996,256,-3.311532445856912,0.11388523542344858,0.1027622308512181,0.13297861300101427,0.07907916571297778
AT13387,459,-3.32176260882955,0.4237738401490127,0.3881343873839782,0.5467434074913705,0.6300530676557968
GNF-2,255,-3.431552931715225,0.12004466055304351,0.11422521884625006,0.19193940161059267,-0.23698045861093875
DBeQ,931,-3.625242397158793,0.16718003358507624,0.15822303007682656,0.31364448537112855,0.3602814084381771
XMD14-99,680,-3.7440954381261076,0.0885393927757697,0.08440727087037704,0.48512924381031347,0.3140946384384855
GW-2580,680,-3.749156697024076,0.0730281446165082,0.06643682958659565,0.05821034977756311,-0.09996672659517866
Panobinostat,1143,-4.183286860377342,0.39245064826982723,0.366672126643221,0.6881464935808165,0.7030067068835334
BRD-A86708339,453,-4.2332514338757115,0.3373673849351868,0.3100339209362207,0.5683299564092398,0.5490233375186362
BAM7,674,-4.811619051553539,0.0942204676315476,0.08563071921192927,-0.0981384839905131,-0.0976548023666647
NU7441,681,-4.821500393890424,0.08696151935503613,0.08016014698912498,0.15217901503760375,0.0694606229357819
Wee1 Inhibitor,629,-4.931386403974369,0.13701400894303997,0.12824246990027374,0.1621378935375116,0.194598579811629
